rk,player,nation,pos,squad,age,born_year,mp,starts,min,nineties,gls,ast,g_a,g_minus_pk,pk,pkatt,crdy,crdr,gls_per90,ast_per90,g_a_per90,g_minus_pk_per90,g_a_minus_pk_per90,g_minus_pk_per90_calc,pk_per90,pkatt_per90,crdy_per90,crdr_per90
458,Jack McGlynn,us USA,MF,Houston,23.0,2003.0,15,13,1099,12.2,2,5,7,2,0,0,2,0,0.16,0.41,0.57,0.16,0.57,0.16,0.0,0.0,0.16,0.0
459,Duncan McGuire,us USA,FW,Houston,25.0,2001.0,5,2,179,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
460,Duncan McGuire,us USA,FW,Orlando City,25.0,2001.0,11,4,481,5.3,2,0,2,2,0,0,1,0,0.37,0.0,0.37,0.37,0.37,0.37,0.0,0.0,0.19,0.0
461,Brendan McSorley,us USA,FW,St. Louis City,24.0,2002.0,12,0,182,2.0,1,0,1,1,0,0,2,0,0.49,0.0,0.49,0.49,0.49,0.49,0.0,0.0,0.99,0.0
462,Christopher McVey,se SWE,DF,San Diego FC,29.0,1997.0,17,15,1329,14.8,1,0,1,1,0,0,7,2,0.07,0.0,0.07,0.07,0.07,0.07,0.0,0.0,0.47,0.14
463,Adri Mehmeti,us USA,MF,RB New York,17.0,2009.0,18,18,1497,16.6,1,3,4,1,0,0,6,1,0.06,0.18,0.24,0.06,0.24,0.06,0.0,0.0,0.36,0.06
464,Brais Méndez,es ESP,FWMF,Columbus Crew,29.0,1997.0,2,0,75,0.8,1,0,1,1,0,0,0,0,1.2,0.0,1.2,1.2,1.2,1.2,0.0,0.0,0.0,0.0
465,Lionel Messi,ar ARG,FWMF,Inter Miami,39.0,1987.0,16,15,1370,15.2,12,8,20,11,1,2,3,0,0.79,0.53,1.31,0.72,1.25,0.72,0.07,0.13,0.2,0.0
466,Wyatt Meyer,us USA,DF,Sporting KC,25.0,2001.0,15,12,1112,12.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0
467,Matt Miazga,us USA,DF,FC Cincinnati,31.0,1995.0,12,10,818,9.1,0,1,1,0,0,0,5,0,0.0,0.11,0.11,0.0,0.11,0.0,0.0,0.0,0.55,0.0
468,Micael,br BRA,DF,Inter Miami,26.0,2000.0,17,17,1530,17.0,1,0,1,1,0,0,4,0,0.06,0.0,0.06,0.06,0.06,0.06,0.0,0.0,0.24,0.0
469,Novak Mićović,rs SRB,GK,LA Galaxy,24.0,2001.0,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
470,Alex Mighten,eng ENG,FWMF,San Diego FC,24.0,2002.0,12,5,574,6.4,0,2,2,0,0,0,1,0,0.0,0.31,0.31,0.0,0.31,0.0,0.0,0.0,0.16,0.0
471,Djordje Mihailovic,us USA,MFFW,Toronto FC,27.0,1998.0,9,6,600,6.7,2,3,5,2,0,0,0,1,0.3,0.45,0.75,0.3,0.75,0.3,0.0,0.0,0.0,0.15
472,Enea Mihaj,al ALB,DF,Atlanta Utd,28.0,1998.0,17,15,1277,14.2,0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.07
473,Harbor Miller,us USA,MFDF,LA Galaxy,19.0,2007.0,18,9,935,10.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
474,Jansen Miller,us USA,DF,Sporting KC,24.0,2002.0,9,5,498,5.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0
475,Kamal Miller,ca CAN,DF,Portland Timbers,29.0,1997.0,15,12,1005,11.2,1,0,1,1,0,0,4,1,0.09,0.0,0.09,0.09,0.09,0.09,0.0,0.0,0.36,0.09
476,Nolan Miller,us USA,DF,Orlando City,22.0,2004.0,5,4,328,3.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0
477,Peyton Miller,us USA,FWMF,NE Revolution,18.0,2007.0,17,11,1079,12.0,4,1,5,4,0,0,1,0,0.33,0.08,0.42,0.33,0.42,0.33,0.0,0.0,0.08,0.0
478,Juan Mina,co COL,DF,RB New York,22.0,2004.0,5,1,185,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
479,Georgi Minoungou,bf BFA,MF,Seattle Sounders,24.0,2002.0,3,2,150,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480,Georgi Minoungou,bf BFA,MFFW,Colorado Rapids,24.0,2002.0,13,9,881,9.8,0,2,2,0,0,0,1,0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.1,0.0
481,Aleksei Miranchuk,ru RUS,MFFW,Atlanta Utd,30.0,1995.0,18,16,1446,16.1,5,5,10,5,0,0,1,0,0.31,0.31,0.62,0.31,0.62,0.31,0.0,0.0,0.06,0.0
482,Roald Mitchell,tt TRI,MF,RB New York,23.0,2003.0,3,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
483,Shakur Mohammed,gh GHA,MF,Nashville SC,22.0,2003.0,9,5,395,4.4,3,0,3,3,0,0,2,0,0.68,0.0,0.68,0.68,0.68,0.68,0.0,0.0,0.46,0.0
484,Luca Moisa,us USA,MF,Real Salt Lake,18.0,2008.0,3,3,175,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0
